,Unnamed: 0,disease,workout
0,0,Fungal infection,Avoid sugary foods
1,1,Fungal infection,Consume probiotics
2,2,Fungal infection,Increase intake of garlic
3,3,Fungal infection,Include yogurt in diet
4,4,Fungal infection,Limit processed foods
5,5,Fungal infection,Stay hydrated
6,6,Fungal infection,Consume green tea
7,7,Fungal infection,Eat foods rich in zinc
8,8,Fungal infection,Include turmeric in diet
9,9,Fungal infection,Eat fruits and vegetables
10,10,Allergy,Avoid allergenic foods
11,11,Allergy,Consume anti-inflammatory foods
12,12,Allergy,Include omega-3 fatty acids
13,13,Allergy,Stay hydrated
14,14,Allergy,Eat foods rich in vitamin C
15,15,Allergy,Include quercetin-rich foods
16,16,Allergy,Consume local honey
17,17,Allergy,Limit processed foods
18,18,Allergy,Include ginger in diet
19,19,Allergy,Avoid artificial additives
20,20,GERD,Consume smaller meals
21,21,GERD,"Avoid trigger foods (spicy, fatty)"
22,22,GERD,Eat high-fiber foods
23,23,GERD,Limit caffeine and alcohol
24,24,GERD,Chew food thoroughly
25,25,GERD,Avoid late-night eating
26,26,GERD,Consume non-citrus fruits
27,27,GERD,Include lean proteins
28,28,GERD,Stay hydrated
29,29,GERD,Avoid carbonated beverages
30,30,Chronic cholestasis,Consume a low-fat diet
31,31,Chronic cholestasis,Eat high-fiber foods
32,32,Chronic cholestasis,Include healthy fats
33,33,Chronic cholestasis,Limit alcohol consumption
34,34,Chronic cholestasis,Stay hydrated
35,35,Chronic cholestasis,Consume antioxidant-rich foods
36,36,Chronic cholestasis,Include omega-3 fatty acids
37,37,Chronic cholestasis,Include lean proteins
38,38,Chronic cholestasis,Limit processed foods
39,39,Chronic cholestasis,Avoid fried foods
40,40,Drug Reaction,Discontinue offending medication
41,41,Drug Reaction,Stay hydrated
42,42,Drug Reaction,Include anti-inflammatory foods
43,43,Drug Reaction,Consume antioxidants
44,44,Drug Reaction,Avoid trigger foods
45,45,Drug Reaction,Include omega-3 fatty acids
46,46,Drug Reaction,Limit caffeine and alcohol
47,47,Drug Reaction,Stay hydrated
48,48,Drug Reaction,Eat a balanced diet
49,49,Drug Reaction,Consult a healthcare professional
50,50,Peptic ulcer disease,"Consume smaller, more frequent meals"
51,51,Peptic ulcer disease,"Avoid trigger foods (spicy, acidic)"
52,52,Peptic ulcer disease,Include high-fiber foods
53,53,Peptic ulcer disease,Limit caffeine and alcohol
54,54,Peptic ulcer disease,Stay hydrated
55,55,Peptic ulcer disease,Consume probiotics
56,56,Peptic ulcer disease,Include lean proteins
57,57,Peptic ulcer disease,Include antioxidant-rich foods
58,58,Peptic ulcer disease,Limit processed foods
59,59,Peptic ulcer disease,Avoid smoking and alcohol
60,60,AIDS,Follow a balanced and nutritious diet
61,61,AIDS,Include lean proteins
62,62,AIDS,Consume nutrient-rich foods
63,63,AIDS,Stay hydrated
64,64,AIDS,Include healthy fats
65,65,AIDS,Avoid raw or undercooked foods
66,66,AIDS,Limit sugary foods and beverages
67,67,AIDS,Consume immune-boosting foods
68,68,AIDS,Take prescribed supplements
69,69,AIDS,Consult a healthcare professional
70,70,Diabetes,Monitor carbohydrate intake
71,71,Diabetes,Eat balanced meals
72,72,Diabetes,Include lean proteins
73,73,Diabetes,Consume high-fiber foods
74,74,Diabetes,Stay hydrated
75,75,Diabetes,Limit sugary foods and beverages
76,76,Diabetes,Include healthy fats
77,77,Diabetes,Monitor blood sugar levels
78,78,Diabetes,Consult a registered dietitian
79,79,Diabetes,Take prescribed medications as directed
80,80,Gastroenteritis,Stay hydrated
81,81,Gastroenteritis,Consume clear fluids
82,82,Gastroenteritis,"Follow the BRAT diet (bananas, rice, applesauce, toast)"
83,83,Gastroenteritis,Include bland foods
84,84,Gastroenteritis,Avoid fatty and greasy foods
85,85,Gastroenteritis,Limit caffeine and alcohol
86,86,Gastroenteritis,Avoid spicy foods
87,87,Gastroenteritis,Consult a healthcare professional
88,88,Gastroenteritis,Gradually reintroduce solid foods
89,89,Gastroenteritis,Avoid dairy products
90,90,Bronchial Asthma,Include anti-inflammatory foods
91,91,Bronchial Asthma,Consume omega-3 fatty acids
92,92,Bronchial Asthma,Limit sodium intake
93,93,Bronchial Asthma,Stay hydrated
94,94,Bronchial Asthma,Include antioxidant-rich foods
95,95,Bronchial Asthma,Avoid sulfite-containing foods
96,96,Bronchial Asthma,Limit processed foods
97,97,Bronchial Asthma,Consume magnesium-rich foods
98,98,Bronchial Asthma,Consult a healthcare professional
99,99,Bronchial Asthma,Avoid trigger foods
100,100,Hypertension,Follow the DASH diet (Dietary Approaches to Stop Hypertension)
101,101,Hypertension,Limit sodium intake
102,102,Hypertension,Include potassium-rich foods
103,103,Hypertension,Stay hydrated
104,104,Hypertension,Consume calcium-rich foods
105,105,Hypertension,Limit alcohol consumption
106,106,Hypertension,Include magnesium-rich foods
107,107,Hypertension,Consume omega-3 fatty acids
108,108,Hypertension,Limit processed foods
109,109,Hypertension,Consult a healthcare professional
110,110,Migraine,Identify and avoid trigger foods
111,111,Migraine,Stay hydrated
112,112,Migraine,Include magnesium-rich foods
113,113,Migraine,Consume omega-3 fatty acids
114,114,Migraine,Limit caffeine and alcohol
115,115,Migraine,Consume riboflavin-rich foods
116,116,Migraine,Limit processed foods
117,117,Migraine,Maintain regular meal times
118,118,Migraine,Consult a healthcare professional
119,119,Migraine,Manage stress
120,120,Cervical spondylosis,Include anti-inflammatory foods
121,121,Cervical spondylosis,Consume omega-3 fatty acids
122,122,Cervical spondylosis,Include vitamin D-rich foods
123,123,Cervical spondylosis,Stay hydrated
124,124,Cervical spondylosis,Consume antioxidant-rich foods
125,125,Cervical spondylosis,Limit processed foods
126,126,Cervical spondylosis,Include lean proteins
127,127,Cervical spondylosis,Practice good posture
128,128,Cervical spondylosis,Consult a healthcare professional
129,129,Cervical spondylosis,Engage in regular exercise
130,130,Paralysis (brain hemorrhage),Follow a balanced and nutritious diet
131,131,Paralysis (brain hemorrhage),Include lean proteins
132,132,Paralysis (brain hemorrhage),Consume nutrient-rich foods
133,133,Paralysis (brain hemorrhage),Stay hydrated
134,134,Paralysis (brain hemorrhage),Include healthy fats
135,135,Paralysis (brain hemorrhage),Limit sugary foods and beverages
136,136,Paralysis (brain hemorrhage),Include antioxidants
137,137,Paralysis (brain hemorrhage),Consume foods rich in vitamin K
138,138,Paralysis (brain hemorrhage),Consult a healthcare professional
139,139,Paralysis (brain hemorrhage),Manage stress
140,140,Jaundice,Stay hydrated
141,141,Jaundice,Consume nutrient-rich foods
142,142,Jaundice,Include protein-rich foods
143,143,Jaundice,Consume easily digestible foods
144,144,Jaundice,Limit fatty foods
145,145,Jaundice,Avoid alcohol and caffeine
146,146,Jaundice,Include vitamin C-rich foods
147,147,Jaundice,Consult a healthcare professional
148,148,Jaundice,Rest and conserve energy
149,149,Jaundice,Gradually resume normal diet
150,150,Malaria,Stay hydrated
151,151,Malaria,Consume nutrient-rich foods
152,152,Malaria,Include protein-rich foods
153,153,Malaria,Consume foods rich in antioxidants
154,154,Malaria,Limit fatty and greasy foods
155,155,Malaria,Avoid alcohol and caffeine
156,156,Malaria,Include vitamin C-rich foods
157,157,Malaria,Consult a healthcare professional
158,158,Malaria,Rest and conserve energy
159,159,Malaria,Gradually resume normal diet
160,160,Chicken pox,Stay hydrated
161,161,Chicken pox,Include easily digestible foods
162,162,Chicken pox,Include vitamin C-rich foods
163,163,Chicken pox,Consume protein-rich foods
164,164,Chicken pox,Include zinc-rich foods
165,165,Chicken pox,Avoid spicy and acidic foods
166,166,Chicken pox,Consult a healthcare professional
167,167,Chicken pox,Practice good hygiene
168,168,Chicken pox,Rest and conserve energy
169,169,Chicken pox,Gradually resume normal diet
